,city,gu,dong
2,서울특별시,종로구,청운동
3,서울특별시,종로구,신교동
4,서울특별시,종로구,궁정동
5,서울특별시,종로구,효자동
6,서울특별시,종로구,창성동
7,서울특별시,종로구,통의동
8,서울특별시,종로구,적선동
9,서울특별시,종로구,통인동
10,서울특별시,종로구,누상동
11,서울특별시,종로구,누하동
12,서울특별시,종로구,옥인동
13,서울특별시,종로구,체부동
14,서울특별시,종로구,필운동
15,서울특별시,종로구,내자동
16,서울특별시,종로구,사직동
17,서울특별시,종로구,도렴동
18,서울특별시,종로구,당주동
19,서울특별시,종로구,내수동
20,서울특별시,종로구,세종로
21,서울특별시,종로구,신문로
22,서울특별시,종로구,청진동
23,서울특별시,종로구,서린동
24,서울특별시,종로구,수송동
25,서울특별시,종로구,중학동
26,서울특별시,종로구,종로
27,서울특별시,종로구,공평동
28,서울특별시,종로구,관훈동
29,서울특별시,종로구,견지동
30,서울특별시,종로구,와룡동
31,서울특별시,종로구,권농동
32,서울특별시,종로구,운니동
33,서울특별시,종로구,익선동
34,서울특별시,종로구,경운동
35,서울특별시,종로구,관철동
36,서울특별시,종로구,인사동
37,서울특별시,종로구,낙원동
38,서울특별시,종로구,팔판동
39,서울특별시,종로구,삼청동
40,서울특별시,종로구,안국동
41,서울특별시,종로구,소격동
42,서울특별시,종로구,화동
43,서울특별시,종로구,사간동
44,서울특별시,종로구,송현동
45,서울특별시,종로구,가회동
46,서울특별시,종로구,재동
47,서울특별시,종로구,계동
48,서울특별시,종로구,원서동
49,서울특별시,종로구,훈정동
50,서울특별시,종로구,묘동
51,서울특별시,종로구,봉익동
52,서울특별시,종로구,돈의동
53,서울특별시,종로구,장사동
54,서울특별시,종로구,관수동
55,서울특별시,종로구,인의동
56,서울특별시,종로구,예지동
57,서울특별시,종로구,원남동
58,서울특별시,종로구,연지동
59,서울특별시,종로구,효제동
60,서울특별시,종로구,이화동
61,서울특별시,종로구,연건동
62,서울특별시,종로구,충신동
63,서울특별시,종로구,동숭동
64,서울특별시,종로구,혜화동
65,서울특별시,종로구,명륜
66,서울특별시,종로구,창신동
67,서울특별시,종로구,숭인동
68,서울특별시,종로구,교남동
69,서울특별시,종로구,평동
70,서울특별시,종로구,송월동
71,서울특별시,종로구,홍파동
72,서울특별시,종로구,교북동
73,서울특별시,종로구,행촌동
74,서울특별시,종로구,구기동
75,서울특별시,종로구,평창동
76,서울특별시,종로구,부암동
77,서울특별시,종로구,홍지동
78,서울특별시,종로구,신영동
79,서울특별시,종로구,무악동
80,서울특별시,중구,무교동
81,서울특별시,중구,다동
82,서울특별시,중구,태평로
83,서울특별시,중구,을지로
84,서울특별시,중구,남대문로
85,서울특별시,중구,삼각동
86,서울특별시,중구,수하동
87,서울특별시,중구,장교동
88,서울특별시,중구,수표동
89,서울특별시,중구,소공동
90,서울특별시,중구,남창동
91,서울특별시,중구,북창동
92,서울특별시,중구,봉래동
93,서울특별시,중구,회현동
94,서울특별시,중구,충무로
95,서울특별시,중구,명동
96,서울특별시,중구,남산동
97,서울특별시,중구,저동
98,서울특별시,중구,예관동
99,서울특별시,중구,묵정동
100,서울특별시,중구,필동
101,서울특별시,중구,남학동
102,서울특별시,중구,주자동
103,서울특별시,중구,예장동
104,서울특별시,중구,장충동
105,서울특별시,중구,광희동
106,서울특별시,중구,쌍림동
107,서울특별시,중구,주교동
108,서울특별시,중구,방산동
109,서울특별시,중구,오장동
110,서울특별시,중구,입정동
111,서울특별시,중구,산림동
112,서울특별시,중구,초동
113,서울특별시,중구,인현동
114,서울특별시,중구,신당동
115,서울특별시,중구,흥인동
116,서울특별시,중구,무학동
117,서울특별시,중구,황학동
118,서울특별시,중구,서소문동
119,서울특별시,중구,정동
120,서울특별시,중구,순화동
121,서울특별시,중구,의주로
122,서울특별시,중구,충정로
123,서울특별시,중구,중림동
124,서울특별시,중구,만리동
125,서울특별시,용산구,후암동
126,서울특별시,용산구,갈월동
127,서울특별시,용산구,남영동
128,서울특별시,용산구,용산동
129,서울특별시,용산구,동자동
130,서울특별시,용산구,서계동
131,서울특별시,용산구,청파동
132,서울특별시,용산구,원효로
133,서울특별시,용산구,신창동
134,서울특별시,용산구,산천동
135,서울특별시,용산구,청암동
136,서울특별시,용산구,효창동
137,서울특별시,용산구,도원동
138,서울특별시,용산구,용문동
139,서울특별시,용산구,문배동
140,서울특별시,용산구,신계동
141,서울특별시,용산구,한강로
142,서울특별시,용산구,이촌동
143,서울특별시,용산구,이태원동
144,서울특별시,용산구,한남동
145,서울특별시,용산구,동빙고동
146,서울특별시,용산구,서빙고동
147,서울특별시,용산구,주성동
148,서울특별시,용산구,보광동
149,서울특별시,성동구,상왕십리동
150,서울특별시,성동구,하왕십리동
151,서울특별시,성동구,홍익동
152,서울특별시,성동구,도선동
153,서울특별시,성동구,마장동
154,서울특별시,성동구,사근동
155,서울특별시,성동구,행당동
156,서울특별시,성동구,응봉동
157,서울특별시,성동구,금호동
158,서울특별시,성동구,옥수동
159,서울특별시,성동구,성수동
160,서울특별시,성동구,송정동
161,서울특별시,성동구,용답동
162,서울특별시,광진구,중곡동
163,서울특별시,광진구,능동
164,서울특별시,광진구,구의동
165,서울특별시,광진구,광장동
166,서울특별시,광진구,자양동
167,서울특별시,광진구,화양동
168,서울특별시,광진구,군자동
169,서울특별시,동대문구,신설동
170,서울특별시,동대문구,용두동
171,서울특별시,동대문구,제기동
172,서울특별시,동대문구,전농동
173,서울특별시,동대문구,답십리동
174,서울특별시,동대문구,장안동
175,서울특별시,동대문구,청량리동
176,서울특별시,동대문구,회기동
177,서울특별시,동대문구,휘경동
178,서울특별시,동대문구,이문동
179,서울특별시,중랑구,면목동
180,서울특별시,중랑구,상봉동
181,서울특별시,중랑구,중화동
182,서울특별시,중랑구,묵동
183,서울특별시,중랑구,망우동
184,서울특별시,중랑구,신내동
185,서울특별시,성북구,성북동
186,서울특별시,성북구,성북동
187,서울특별시,성북구,돈암동
188,서울특별시,성북구,동소문동
189,서울특별시,성북구,삼선동
190,서울특별시,성북구,동선동
191,서울특별시,성북구,안암동
192,서울특별시,성북구,보문동
193,서울특별시,성북구,정릉동
194,서울특별시,성북구,길음동
195,서울특별시,성북구,종암동
196,서울특별시,성북구,하월곡동
197,서울특별시,성북구,상월곡동
198,서울특별시,성북구,장위동
199,서울특별시,성북구,석관동
200,서울특별시,강북구,미아동
201,서울특별시,강북구,번동
202,서울특별시,강북구,수유동
203,서울특별시,강북구,우이동
204,서울특별시,도봉구,쌍문동
205,서울특별시,도봉구,방학동
206,서울특별시,도봉구,창동
207,서울특별시,도봉구,도봉동
208,서울특별시,노원구,월계동
209,서울특별시,노원구,공릉동
210,서울특별시,노원구,하계동
211,서울특별시,노원구,상계동
212,서울특별시,노원구,중계동
213,서울특별시,은평구,수색동
214,서울특별시,은평구,녹번동
215,서울특별시,은평구,불광동
216,서울특별시,은평구,갈현동
217,서울특별시,은평구,구산동
218,서울특별시,은평구,대조동
