순번,city,gu,dong
1,서울특별시,강남구,역삼동
2,서울특별시,강남구,논현동
3,서울특별시,강남구,논현동
4,서울특별시,강남구,역삼동
5,서울특별시,강남구,대치동
6,서울특별시,강남구,삼성동
7,서울특별시,강남구,신사동
8,서울특별시,강남구,삼성동
9,서울특별시,강남구,대치동
10,서울특별시,강남구,신사동
11,서울특별시,강남구,수서동
12,서울특별시,강남구,도곡동
13,서울특별시,강남구,삼성동
14,서울특별시,강남구,삼성동
15,서울특별시,강남구,역삼동
16,서울특별시,강남구,삼성동
17,서울특별시,강남구,청담동
18,서울특별시,강남구,역삼동
19,서울특별시,강남구,역삼동
20,서울특별시,강남구,대치동
21,서울특별시,강남구,청담동
22,서울특별시,강남구,신사동
23,서울특별시,강남구,
24,서울특별시,강남구,청담동
25,서울특별시,강남구,역삼동
26,서울특별시,강남구,논현동
27,서울특별시,강남구,대치동
28,서울특별시,강남구,삼성동
29,서울특별시,강남구,논현동
30,서울특별시,강남구,논현동
31,서울특별시,강남구,대치동
32,서울특별시,강남구,논현동
33,서울특별시,강남구,청담동
34,서울특별시,강남구,대치동
35,서울특별시,강남구,역삼동
36,서울특별시,강남구,삼성동
37,서울특별시,강남구,신사동
38,서울특별시,강남구,역삼동
39,서울특별시,강남구,역삼동
40,서울특별시,강남구,역삼동
41,서울특별시,강남구,청담동
42,서울특별시,강남구,삼성동
43,서울특별시,강남구,
44,서울특별시,강남구,논현동
45,서울특별시,강남구,대치동
46,서울특별시,강남구,도곡동
47,서울특별시,강남구,삼성동
48,서울특별시,강남구,대치동
49,서울특별시,강남구,신사동
50,서울특별시,강남구,신사동
51,서울특별시,강남구,역삼동
52,서울특별시,강남구,역삼동
53,서울특별시,강남구,논현동
54,서울특별시,강남구,대치동
55,서울특별시,강남구,개포동
56,서울특별시,강남구,역삼동
57,서울특별시,강남구,대치동
58,서울특별시,강남구,삼성동
59,서울특별시,강남구,삼성동
60,서울특별시,강남구,역삼동
61,서울특별시,강남구,신사동
62,서울특별시,강남구,역삼동
63,서울특별시,강남구,삼성동
64,서울특별시,강남구,역삼동
65,서울특별시,강남구,신사동
66,서울특별시,강남구,역삼동
67,서울특별시,강남구,역삼동
68,서울특별시,강남구,청담동
69,서울특별시,강남구,역삼동
70,서울특별시,강남구,대치동
71,서울특별시,강남구,역삼동
72,서울특별시,강남구,논현동
73,서울특별시,강남구,논현동
74,서울특별시,강남구,대치동
75,서울특별시,강남구,개포동
76,서울특별시,강남구,수서동
77,서울특별시,강남구,삼성동
78,서울특별시,강남구,역삼동
79,서울특별시,강남구,논현동
80,서울특별시,강남구,세곡동
81,서울특별시,강남구,대치동
82,서울특별시,강남구,역삼동
83,서울특별시,강남구,역삼동
84,서울특별시,강남구,대치동
85,서울특별시,강남구,역삼동
86,서울특별시,강남구,논현동
87,서울특별시,강남구,삼성동
88,서울특별시,강남구,역삼동
89,서울특별시,강북구,미아동
90,서울특별시,강북구,수유동
91,서울특별시,강북구,미아동
92,서울특별시,강북구,번동)
93,서울특별시,강북구,미아동
94,서울특별시,강북구,우이동
95,서울특별시,강서구,마곡동
96,서울특별시,강서구,마곡동
97,서울특별시,강서구,내발산
98,서울특별시,강서구,마곡동
99,서울특별시,강서구,방화동
100,서울특별시,강서구,마곡동
101,서울특별시,강서구,마곡동
102,서울특별시,강서구,등촌동
103,서울특별시,강서구,화곡동
104,서울특별시,강서구,마곡동
105,서울특별시,강서구,화곡동
106,서울특별시,강서구,등촌동
107,서울특별시,강서구,염창동
108,서울특별시,강서구,등촌동
109,서울특별시,강서구,화곡동
110,서울특별시,강서구,화곡동
111,서울특별시,강서구,화곡동
112,서울특별시,강서구,염창동
113,서울특별시,강서구,등촌동
114,서울특별시,강서구,내발산
115,서울특별시,강서구,마곡동
116,서울특별시,강서구,방화동
117,서울특별시,강서구,등촌동
118,서울특별시,강서구,마곡동
119,서울특별시,강서구,화곡동
120,서울특별시,관악구,봉천동
121,서울특별시,관악구,봉천동
122,서울특별시,관악구,신림동
123,서울특별시,관악구,봉천동
124,서울특별시,관악구,봉천동
125,서울특별시,관악구,
126,서울특별시,관악구,봉천동
127,서울특별시,관악구,신림동
128,서울특별시,관악구,신림동
129,서울특별시,관악구,
130,서울특별시,관악구,봉천동
131,서울특별시,관악구,봉천동
132,서울특별시,광진구,화양동
133,서울특별시,광진구,군자동
134,서울특별시,광진구,구의동
135,서울특별시,광진구,구의동
136,서울특별시,광진구,구의동
137,서울특별시,광진구,
138,서울특별시,광진구,군자동
139,서울특별시,광진구,광장동
140,서울특별시,광진구,자양동
141,서울특별시,광진구,화양동
142,서울특별시,광진구,구의동
143,서울특별시,광진구,광장동
144,서울특별시,광진구,자양동
145,서울특별시,광진구,화양동
146,서울특별시,광진구,중곡동
147,서울특별시,광진구,자양동
148,서울특별시,광진구,자양동
149,서울특별시,광진구,중곡동
150,서울특별시,금천구,시흥동
151,서울특별시,금천구,가산동
152,서울특별시,금천구,독산동
153,서울특별시,금천구,시흥동
154,서울특별시,금천구,가산동
155,서울특별시,금천구,독산동
156,서울특별시,금천구,가산동
157,서울특별시,금천구,
158,서울특별시,금천구,가산동
159,서울특별시,금천구,가산동
160,서울특별시,금천구,가산동
161,서울특별시,금천구,가산동
162,서울특별시,금천구,가산동
163,서울특별시,노원구,104
164,서울특별시,노원구,월계동
165,서울특별시,노원구,상계동
166,서울특별시,노원구,공릉동
167,서울특별시,노원구,상계동
168,서울특별시,노원구,공릉동
169,서울특별시,노원구,중계동
170,서울특별시,노원구,주)
171,서울특별시,노원구,월계동
172,서울특별시,노원구,상계동
173,서울특별시,노원구,상계동
174,서울특별시,노원구,월계동
175,서울특별시,노원구,공릉동
176,서울특별시,노원구,상계동
177,서울특별시,도봉구,창동)
178,서울특별시,도봉구,창동)
179,서울특별시,도봉구,창동)
180,서울특별시,도봉구,쌍문동
181,서울특별시,도봉구,방학동
182,서울특별시,동작구,노량진
183,서울특별시,동작구,사당동
184,서울특별시,동작구,상도1
185,서울특별시,동작구,신대방
186,서울특별시,동작구,사당동
187,서울특별시,동작구,노량진
188,서울특별시,동작구,상도동
189,서울특별시,동작구,흑석동
190,서울특별시,동작구,상도동
191,서울특별시,동작구,상도동
192,서울특별시,동작구,사당동
193,서울특별시,마포구,신수동
194,서울특별시,마포구,상암동
195,서울특별시,마포구,용강동
196,서울특별시,마포구,서교동
197,서울특별시,마포구,아현동
198,서울특별시,마포구,공덕동
199,서울특별시,마포구,서교동
200,서울특별시,마포구,동교동
201,서울특별시,마포구,염리동
202,서울특별시,마포구,창전동
203,서울특별시,마포구,합정동
204,서울특별시,마포구,대흥동
205,서울특별시,마포구,서교동
206,서울특별시,마포구,상암동
207,서울특별시,마포구,노고산
208,서울특별시,마포구,
209,서울특별시,마포구,상수동
210,서울특별시,마포구,도화동
211,서울특별시,마포구,신수동
212,서울특별시,마포구,상암동
213,서울특별시,마포구,동교동
214,서울특별시,마포구,동교동
215,서울특별시,마포구,아현동
216,서울특별시,마포구,상암동
217,서울특별시,마포구,도화동
218,서울특별시,마포구,도화동
219,서울특별시,마포구,상수동
220,서울특별시,마포구,서교동
221,서울특별시,마포구,신공덕
222,서울특별시,마포구,서교동
223,서울특별시,마포구,아현동
224,서울특별시,마포구,상암동
225,서울특별시,마포구,동교동
226,서울특별시,마포구,합정동
227,서울특별시,마포구,동교동
228,서울특별시,마포구,망원동
229,서울특별시,서대문구,남가좌
230,서울특별시,서대문구,남가좌
231,서울특별시,서대문구,창천동
232,서울특별시,서대문구,연희동
233,서울특별시,서대문구,북아현
234,서울특별시,서대문구,홍제동
235,서울특별시,서대문구,신촌동
236,서울특별시,서대문구,연희동
237,서울특별시,서대문구,충정로
238,서울특별시,서대문구,창천동
239,서울특별시,서대문구,대현동
240,서울특별시,서대문구,신촌동
241,서울특별시,서대문구,대현동
242,서울특별시,서대문구,창천동
243,서울특별시,서대문구,창천동
244,서울특별시,서대문구,
245,서울특별시,서대문구,대신동
246,서울특별시,서대문구,창천동
247,서울특별시,서대문구,충정로
248,서울특별시,서대문구,대현동
249,서울특별시,서대문구,북가좌
250,서울특별시,서대문구,창천동
251,서울특별시,서초구,방배동
252,서울특별시,서초구,서초동
253,서울특별시,서초구,방배동
254,서울특별시,서초구,반포동
255,서울특별시,서초구,서초동
256,서울특별시,서초구,서초동
257,서울특별시,서초구,서초동
258,서울특별시,서초구,방배동
259,서울특별시,서초구,잠원동
260,서울특별시,서초구,반포동
261,서울특별시,서초구,반포동
262,서울특별시,서초구,
263,서울특별시,서초구,방배동
