,School_Name,School_Level,Establishment_Date,Establishment_Type,Branch_Type,Address,city,gu,dong,Latitude,Longitude
0,주양초등학교,초등학교,2006-03-01,공립,본교,부산광역시 사상구 주례동 10-1,부산광역시,사상구,주례동,35.15368245,129.0121457
1,항동중학교,중학교,2020-03-01,공립,본교,서울특별시 구로구 항동 22-5,서울특별시,구로구,항동,37.48285456,126.8201900078
2,이사벨중학교,중학교,1964-12-12,사립,본교,부산광역시 연제구 거제동 75-7,부산광역시,연제구,거제동,35.19353414,129.077938
3,서울개봉초등학교,초등학교,1971-12-04,공립,본교,서울특별시 구로구 개봉동 266,서울특별시,구로구,개봉동,37.48952491,126.857976
4,성동초등학교,초등학교,1952-04-06,공립,본교,부산광역시 남구 문현동 497,부산광역시,남구,문현동,35.14383316,129.0691045
5,이화여자대학교사범대학부속초등학교,초등학교,1955-04-08,사립,본교,서울특별시 서대문구 대신동 20,서울특별시,서대문구,대신동,37.56115022,126.9427504
6,서울대학교사범대학부설초등학교,초등학교,1946-08-22,국립,본교,서울특별시 종로구 동숭동 199-51,서울특별시,종로구,동숭동,37.5775997,127.0042955
7,연신중학교,중학교,1982-01-07,공립,본교,서울특별시 은평구 불광동 400-4,서울특별시,은평구,불광동,37.62353926,126.9242879
8,서울윤중초등학교,초등학교,1980-04-04,공립,본교,서울특별시 영등포구 여의도동 38,서울특별시,영등포구,여의도동,37.51964164,126.9225908
9,덕산중학교,중학교,1988-04-19,공립,본교,서울특별시 은평구 신사동 265-4,서울특별시,은평구,신사동,37.6022574,126.9046771
10,서울중계초등학교,초등학교,1975-10-02,공립,본교,서울특별시 노원구 중계동 449-2,서울특별시,노원구,중계동,37.65784243,127.0733117
11,명진중학교,중학교,2003-03-01,공립,본교,부산광역시 북구 화명동 2258,부산광역시,북구,화명동,35.23977771,129.0097001
12,동삼초등학교,초등학교,1942-04-01,공립,본교,부산광역시 영도구 동삼동 258,부산광역시,영도구,동삼동,35.0798243,129.0734665
13,화잠초등학교,초등학교,2003-03-01,공립,본교,부산광역시 북구 화명동 732-1,부산광역시,북구,화명동,35.2359298,129.0173597
14,서울염리초등학교,초등학교,1983-11-22,공립,본교,서울특별시 마포구 염리동 173-4,서울특별시,마포구,염리동,37.54271029,126.945999
15,월곡중학교,중학교,1986-05-14,공립,본교,서울특별시 성북구 상월곡동 35-1,서울특별시,성북구,상월곡동,37.60698163,127.0482588
16,대진디자인고등학교,고등학교,1995-03-02,사립,본교,서울특별시 강남구 수서동 733,서울특별시,강남구,수서동,37.49042815,127.0959793
17,연서초등학교,초등학교,1984-04-25,공립,본교,부산광역시 연제구 연산동 583-3,부산광역시,연제구,연산동,35.19095316,129.0866023
18,동덕여자중학교,중학교,1910-04-27,사립,본교,서울특별시 서초구 방배동 산81-5,서울특별시,서초구,방배동,37.47587863,126.991995
19,서울중평초등학교,초등학교,1988-04-25,공립,본교,서울특별시 노원구 하계동 271,서울특별시,노원구,하계동,37.63753357,127.0639651
20,전일중학교,중학교,1974-10-02,공립,본교,서울특별시 동대문구 전농동 60-1,서울특별시,동대문구,전농동,37.58250018,127.0583795
21,서울자운초등학교,초등학교,1997-06-11,공립,본교,서울특별시 도봉구 창동 181-19,서울특별시,도봉구,창동,37.65801094,127.0466811
22,서울신당초등학교,초등학교,2007-03-01,공립,본교,서울특별시 중구 신당동 161-2,서울특별시,중구,신당동,37.56362621,127.0236731
23,서울면중초등학교,초등학교,1976-06-05,공립,본교,서울특별시 중랑구 면목동 491-1,서울특별시,중랑구,면목동,37.58244179,127.0965509
24,창일중학교,중학교,1991-10-02,공립,본교,서울특별시 도봉구 창동 369,서울특별시,도봉구,창동,37.64898751,127.0469136
25,개원초등학교,초등학교,1995-03-01,공립,본교,부산광역시 부산진구 개금동 1-18,부산광역시,부산진구,개금동,35.16456635,129.0284098
26,용수초등학교,초등학교,2002-03-27,공립,본교,부산광역시 북구 화명동 2305,부산광역시,북구,화명동,35.22913767,129.0090771
27,서울강서초등학교,초등학교,1980-10-18,공립,본교,서울특별시 양천구 신월동 441,서울특별시,양천구,신월동,37.52241272,126.8409879
