,city,dong,addr_kr,latitude,longitude
0,서울특별시,신교동,서울특별시 신교동,37.58416,126.96723
1,서울특별시,필운동,서울특별시 필운동,37.5773635,126.9690969
3,서울특별시,내수동,서울특별시 내수동,37.57294,126.9718
5,서울특별시,인의동,서울특별시 인의동,37.57236,126.9971
10,서울특별시,이화동,서울특별시 이화동,37.5804756,127.00254718158271
11,서울특별시,명륜1가,서울특별시 명륜1가,37.58861,126.99689
13,서울특별시,명륜2가,서울특별시 명륜2가,37.58446,126.99869
17,서울특별시,창신동,서울특별시 창신동,37.57595,127.01313
31,서울특별시,숭인동,서울특별시 숭인동,37.57648,127.01848
33,서울특별시,평창동,서울특별시 평창동,37.61597305,126.96764782812966
38,서울특별시,무악동,서울특별시 무악동,37.5768977,126.95878701282932
42,서울특별시,누상동,서울특별시 누상동,37.5804226,126.9630739
45,서울특별시,수송동,서울특별시 수송동,37.57371,126.98093
46,서울특별시,익선동,서울특별시 익선동,37.5743576,126.9897757
51,서울특별시,동숭동,서울특별시 동숭동,37.58096,127.0051932
93,서울특별시,부암동,서울특별시 부암동,37.5949602,126.9657272
106,서울특별시,낙원동,서울특별시 낙원동,37.57221,126.98762
152,서울특별시,교북동,서울특별시 교북동,37.5721169,126.9611117
153,서울특별시,행촌동,서울특별시 행촌동,37.57425,126.96215
164,서울특별시,신영동,서울특별시 신영동,37.60277,126.9616
240,서울특별시,신문로1가,서울특별시 신문로1가,37.57017,126.97417
331,서울특별시,청운동,서울특별시 청운동,37.58895,126.96784
333,서울특별시,견지동,서울특별시 견지동,37.57435,126.98243
359,서울특별시,사직동,서울특별시 사직동,37.5738317,126.97030324117736
416,서울특별시,혜화동,서울특별시 혜화동,37.58681425,126.99977827523001
431,서울특별시,통인동,서울특별시 통인동,37.5800949,126.970346
461,서울특별시,명륜3가,서울특별시 명륜3가,37.58659,126.99398
553,서울특별시,당주동,서울특별시 당주동,37.5716796,126.9739063
585,서울특별시,구기동,서울특별시 구기동,37.609029,126.9573925
787,서울특별시,연건동,서울특별시 연건동,37.5784056,126.9999208
1561,서울특별시,충신동,서울특별시 충신동,37.57459,127.00537
3319,서울특별시,옥인동,서울특별시 옥인동,37.58348,126.96385
5048,서울특별시,장충동2가,서울특별시 장충동2가,37.5541467,127.0002445
5050,서울특별시,신당동,서울특별시 신당동,37.565196900000004,127.01321661206495
5091,서울특별시,순화동,서울특별시 순화동,37.5623,126.97037
5093,서울특별시,중림동,서울특별시 중림동,37.5567609,126.96630371330951
5099,서울특별시,만리동1가,서울특별시 만리동1가,37.55575,126.96685
5100,서울특별시,회현동1가,서울특별시 회현동1가,37.55689,126.98138
5104,서울특별시,산림동,서울특별시 산림동,37.56738,126.99578
5143,서울특별시,남산동2가,서울특별시 남산동2가,37.55841,126.98532
5146,서울특별시,인현동2가,서울특별시 인현동2가,37.56397,126.99591
5147,서울특별시,묵정동,서울특별시 묵정동,37.5612,127.00019
5222,서울특별시,흥인동,서울특별시 흥인동,37.56738,127.01651
5235,서울특별시,충무로4가,서울특별시 충무로4가,37.56208,126.99556
5236,서울특별시,을지로5가,서울특별시 을지로5가,37.5665,127.00172
5306,서울특별시,황학동,서울특별시 황학동,37.5675499,127.02172
5447,서울특별시,장충동1가,서울특별시 장충동1가,37.56041,127.00706
5680,서울특별시,정동,서울특별시 정동,37.5661683,126.9726202
5852,서울특별시,필동3가,서울특별시 필동3가,37.5581985,126.9966383
5924,서울특별시,만리동2가,서울특별시 만리동2가,37.5549167,126.9640348
6093,서울특별시,예장동,서울특별시 예장동,37.55492,126.98941
6221,서울특별시,필동1가,서울특별시 필동1가,37.56082,126.99224
6442,서울특별시,남대문로5가,서울특별시 남대문로5가,37.5562433,126.9751334
6950,서울특별시,회현동2가,서울특별시 회현동2가,37.55833,126.98217
7036,서울특별시,남창동,서울특별시 남창동,37.55771,126.97753
