"동별(1)",동별(2),동별(3),2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4,2018 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",종로구,소계,73735,163026,79156,83870,153065,74825,78240,9961,4331,5630,2.08,26742
"합계",종로구,사직동,4528,9818,4448,5370,9546,4295,5251,272,153,119,2.11,1763
"합계",종로구,삼청동,1408,3073,1455,1618,2836,1333,1503,237,122,115,2.01,634
"합계",종로구,부암동,4315,10537,5054,5483,10149,4879,5270,388,175,213,2.35,1742
"합계",종로구,평창동,7592,19105,8970,10135,18951,8895,10056,154,75,79,2.50,3154
"합계",종로구,무악동,3002,8260,3865,4395,8215,3849,4366,45,16,29,2.74,1307
"합계",종로구,교남동,4576,10846,5060,5786,10701,4993,5708,145,67,78,2.34,1483
"합계",종로구,가회동,2058,4546,2126,2420,4429,2062,2367,117,64,53,2.15,902
"합계",종로구,종로1.2.3.4가동,5291,8462,4943,3519,7420,4407,3013,1042,536,506,1.40,1872
"합계",종로구,종로5.6가동,3139,5597,3046,2551,5225,2862,2363,372,184,188,1.66,1091
"합계",종로구,이화동,4485,8621,4020,4601,8083,3818,4265,538,202,336,1.80,1342
"합계",종로구,창신1동,2996,6237,3366,2871,5364,2913,2451,873,453,420,1.79,1169
"합계",종로구,창신2동,4167,10015,5072,4943,8780,4485,4295,1235,587,648,2.11,1673
"합계",종로구,창신3동,2889,7439,3667,3772,7254,3571,3683,185,96,89,2.51,1135
"합계",종로구,숭인1동,2996,6723,3310,3413,6376,3155,3221,347,155,192,2.13,1148
"합계",종로구,숭인2동,5716,10088,5074,5014,9608,4895,4713,480,179,301,1.68,1603
